Almeria2023 PG3-SARAH3,Almeria2023 PG3-ERA5,Almeria2023 RN-MERRA2,Almeria2023 PV-MEAS
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00183,0.016,0.022
0.19696,0.17516,0.18,0.194
0.40895,0.41114999999999996,0.285,0.305
0.55541,0.53844,0.404,0.432
0.65501,0.5832200000000001,0.485,0.518
0.69279,0.58668,0.557,0.594
0.66976,0.62671,0.526,0.561
0.58892,0.45603,0.454,0.484
0.44800999999999996,0.35781,0.297,0.318
0.23185,0.01476,0.089,0.098
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00146,0.033,0.041
0.17921,0.23876,0.276,0.295
0.4168,0.45568000000000003,0.436,0.465
0.55922,0.58896,0.525,0.56
0.65418,0.66785,0.528,0.563
0.69272,0.68251,0.475,0.506
0.6677000000000001,0.63309,0.406,0.433
0.5840599999999999,0.5299400000000001,0.322,0.344
0.43107999999999996,0.35616000000000003,0.199,0.214
0.22366999999999998,0.01592,0.048,0.056
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00235,0.03,0.038
0.12357,0.24154,0.21,0.226
0.34381,0.42236,0.375,0.4
0.59894,0.60076,0.397,0.424
0.67044,0.67187,0.547,0.583
0.66744,0.64139,0.632,0.674
0.67299,0.61942,0.573,0.611
0.59639,0.52649,0.463,0.494
0.47182,0.35617000000000004,0.313,0.334
0.17971,0.01671,0.094,0.104
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00163,0.037,0.045
0.18233000000000002,0.23828,0.282,0.302
0.42207,0.45375,0.448,0.478
0.58341,0.5285700000000001,0.557,0.594
0.69009,0.57384,0.608,0.649
0.71785,0.5804400000000001,0.612,0.653
0.69584,0.60458,0.564,0.601
0.60197,0.49015,0.465,0.496
0.43501999999999996,0.34564999999999996,0.304,0.325
0.23679,0.01709,0.088,0.098
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00155,0.021,0.028
0.19648,0.27996,0.269,0.289
0.44525,0.50188,0.485,0.518
0.59485,0.65771,0.589,0.628
0.70527,0.7397,0.587,0.627
0.73763,0.74918,0.532,0.568
0.7103700000000001,0.6881499999999999,0.469,0.5
0.6237,0.5831799999999999,0.376,0.402
0.47586,0.39443,0.247,0.265
0.26347000000000004,0.16233,0.064,0.073
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0016799999999999999,0.061,0.071
0.18813,0.27325,0.341,0.364
0.42008999999999996,0.48468,0.514,0.548
0.57957,0.62775,0.622,0.664
0.68792,0.7107899999999999,0.675,0.72
0.7214400000000001,0.72991,0.672,0.718
0.70437,0.68201,0.619,0.661
0.62281,0.5713400000000001,0.511,0.545
0.47402999999999995,0.39379000000000003,0.343,0.366
0.26506,0.1633,0.109,0.119
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00182,0.037,0.045
0.18578,0.24397,0.257,0.276
0.41397,0.44486000000000003,0.468,0.499
0.56149,0.59737,0.587,0.626
0.65549,0.64379,0.643,0.687
0.6917300000000001,0.6718500000000001,0.646,0.69
0.6742400000000001,0.61513,0.597,0.637
0.59041,0.5112,0.494,0.527
0.44933999999999996,0.3486,0.326,0.348
0.21543,0.13088,0.101,0.111
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00163,0.027,0.034
0.13301,0.21956,0.209,0.225
0.2827,0.44476,0.465,0.496
0.56905,0.49069,0.576,0.615
0.47366,0.49756,0.623,0.665
0.19448,0.55824,0.595,0.634
0.15009,0.40157,0.51,0.544
0.09731999999999999,0.28641,0.351,0.375
0.16671,0.23913,0.197,0.213
0.046200000000000005,0.09229000000000001,0.039,0.046
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0018700000000000001,0.081,0.091
0.19963,0.22963,0.368,0.393
0.43815,0.47622000000000003,0.537,0.573
0.59862,0.6367,0.646,0.689
0.70763,0.71599,0.699,0.747
0.7399600000000001,0.7436699999999999,0.7,0.747
0.70405,0.68229,0.648,0.691
0.62609,0.58275,0.541,0.577
0.48888,0.42818,0.369,0.394
0.28669,0.18497999999999998,0.132,0.144
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.002,0.068,0.078
0.20487,0.26274000000000003,0.339,0.363
0.44769,0.44224,0.517,0.551
0.61022,0.6311599999999999,0.633,0.676
0.7248,0.7345499999999999,0.691,0.738
0.73993,0.744,0.693,0.74
0.71899,0.69604,0.642,0.685
0.62459,0.57386,0.533,0.569
0.48348,0.40643,0.362,0.386
0.28264,0.17323,0.126,0.137
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
