Turin2019 PG2-SARAH2,Turin2019 PG2-ERA5,Turin2019 PG3-SARAH3,Turin2019 PG3-ERA5,Turin2020 PG2-SARAH2,Turin2020 PG2-ERA5,Turin2020 PG3-SARAH3,Turin2020 PG3-ERA5,Turin2019 RN-MERRA2,Turin2020 RN-MERRA2,Turin2019 PV-MEAS,Turin2020 PV-MEAS
0.58549,0.5173,0.5674,0.50757,0.09075,0.25221,0.09720999999999999,0.23522,0.482,0.13,0.4564094015669272,0.13397287462785312
0.48368,0.38115,0.46317,0.36669999999999997,0.05071,0.16879,0.061189999999999994,0.15894,0.362,0.07,0.3398899816636099,0.08104531921931855
0.30360000000000004,0.16777,0.25457,0.15666,0.16885,0.0366,0.13105,0.02532,0.121,0.009,0.18161360226704423,0.04300363876943433
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03683947324554093,0.013231888852133642
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.00419,0.0,0.00467,0.0,0.0035099999999999997,0.0,0.00365,0.013,0.027,0.0,0.0
0.08322,0.15678999999999998,0.08291,0.15866999999999998,0.07053,0.17879,0.05839,0.16408,0.112,0.182,0.028254709118186335,0.021501819384717166
0.19306,0.34176999999999996,0.20259,0.33437,0.34103,0.33759,0.33436,0.32966,0.303,0.332,0.14119019836639418,0.19517036056897122
0.40784,0.49177,0.44543,0.48941,0.40874,0.45572,0.40825,0.44817,0.506,0.463,0.19478246374395689,0.31425736023817397
0.58776,0.5722200000000001,0.58814,0.56464,0.50778,0.54334,0.51648,0.53097,0.538,0.535,0.2774629104850803,0.39861065167052595
0.57663,0.5774900000000001,0.55365,0.5652,0.55068,0.53043,0.56437,0.52818,0.524,0.528,0.3907317886314378,0.42672841548130996
0.44145,0.50737,0.42799,0.49607999999999997,0.54892,0.48599000000000003,0.53783,0.47899,0.439,0.458,0.3275545924320713,0.42011247105524313
0.30857,0.37887,0.2888,0.3673,0.42296,0.35492,0.41025,0.34664999999999996,0.296,0.29,0.23670611768628064,0.3076414158121072
0.22763,0.16835,0.18344,0.15491999999999997,0.26339999999999997,0.15543,0.21405000000000002,0.14538,0.028,0.092,0.15960993498916484,0.1587826662256037
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028504750791798626,0.02480979159775058
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
