,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed
Locations,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2014,Utrecht2015,Utrecht2016,Utrecht2017
Profile time series,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,RN-SARAH,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,RN-SARAH,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,PV-MEAS,PV-MEAS,PV-MEAS,PV-MEAS
Subsets,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed
Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0.00086,0,0.001,0.001,0,0.00134,0.00091,0.0017,0.001,0,0,0.01685,0.00185,0.01074,0.016,0,0.06589,0.0014,0.04628,0.032,0.003139841,0.00124374,0.016,0.024579111
58,0.01962,0.0135,0.01731,0.00762,0.015,0.018,0.02253,0.0093,0.01698,0.01113,0.008,0.017,0.04438,0.01405,0.0818,0.01114,0.09,0.0631,0.26862,0.02183,0.21964,0.14,0.045821609,0.006281382,0.09,0.083946779
59,0.03329,0.1694,0.07394,0.12483,0.05,0.078,0.04972,0.02377,0.04107,0.02377,0.011,0.032,0.09215,0.09254,0.10512,0.0641,0.195,0.07419,0.35261,0.07137,0.33306,0.301,0.169203815,0.014391608,0.195,0.084529316
60,0.28541,0.11649,0.31161,0.14571,0.14,0.198,0.11668,0.02445,0.08951,0.02681,0.05,0.073,0.17625,0.22309,0.0685,0.20906,0.191,0.06363,0.34195,0.04629,0.3632,0.308,0.132023637,0.020338842,0.191,0.049057025
61,0.1786,0.06814,0.12581,0.0586,0.18,0.112,0.06468,0.01934,0.0421,0.02155,0.066,0.061,0.33026,0.21619,0.28943,0.22023,0.116,0.02989,0.08731,0.02008,0.10715,0.191,0.070288609,0.030199492,0.116,0.027923479
62,0.14016,0.14493,0.09609,0.10899,0.155,0.1,0.0227,0.01509,0.01789,0.01479,0.043,0.022,0.18717,0.12229,0.14828,0.12445,0.062,0.02326,0.02719,0.05004,0.03011,0.059,0.102339815,0.020299937,0.062,0.02974648
63,0.20147,0.11828,0.23696,0.11843,0.055,0.13,0.01951,0.01333,0.05252,0.01048,0.017,0.021,0.17746,0.02796,0.18997,0.0248,0.017,0.00739,0.0042,0.0131,0.00319,0.012,0.048576799,0.001689784,0.017,0.010209361
64,0,0,0.00601,0,0,0.006,0,0,0,0,0,0,0.00747,0,0.01257,0,0,0,0,0,0,0,0.002258295,0,0,0.000232148
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
