,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed
Locations,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2014,Utrecht2015,Utrecht2016,Utrecht2017
Profile time series,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,RN-SARAH,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,RN-SARAH,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,PG2-SARAH2,PG2-ERA5,PG3-SARAH3,PG3-ERA5,RN-MERRA2,PV-MEAS,PV-MEAS,PV-MEAS,PV-MEAS
Subsets,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed
Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
4629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000975675
4637,0,0.00489,0.00064,0.00457,0.027,0,0,0.00093,0,0.00093,0.004,0,0.00411,0.01084,0.00831,0.01154,0.032,0.0042,0.01425,0.00596,0.01453,0.033,0.010568532,0.008761718,0.027853673,0.025467779
4638,0.00386,0.03067,0.00386,0.0355,0.107,0.005,0.01021,0.00465,0.01229,0.00525,0.021,0.006,0.0432,0.05836,0.02125,0.06219,0.147,0.05927,0.0787,0.06107,0.07825,0.142,0.022866777,0.008274217,0.034973925,0.060260563
4639,0.02027,0.08566,0.01655,0.10366,0.217,0.019,0.04511,0.01635,0.07461,0.01413,0.053,0.043,0.1326,0.13096,0.20817,0.14774,0.325,0.23017,0.18594,0.22825,0.17076,0.288,0.102506842,0.045608277,0.14368348,0.266151457
4640,0.21229,0.14531,0.12175,0.16939,0.306,0.156,0.0369,0.02099,0.0369,0.01764,0.079,0.042,0.27513,0.18743,0.23582,0.19353,0.488,0.41543,0.35295,0.43565,0.34772,0.487,0.1756532,0.041622515,0.309904062,0.330799296
4641,0.37676,0.23059,0.43988,0.23709,0.425,0.34,0.06703,0.03545,0.05938,0.03748,0.122,0.055,0.50775,0.36009,0.51171,0.36532,0.61,0.43269,0.4613,0.49516,0.44339,0.66,0.401644086,0.044750422,0.511736224,0.271715499
4642,0.19759,0.35884,0.20187,0.4264,0.595,0.223,0.08165,0.05356,0.07734,0.04916,0.204,0.082,0.35219,0.51922,0.38691,0.53666,0.683,0.38972,0.33176,0.42367,0.32399,0.769,0.199636823,0.106537509,0.694269615,0.240613782
4643,0.23446,0.53973,0.25852,0.53494,0.639,0.257,0.12332,0.05628,0.12419,0.05376,0.285,0.119,0.51337,0.54435,0.38763,0.58153,0.683,0.3724,0.39948,0.39346,0.39685,0.828,0.181097172,0.137571702,0.536975037,0.323262659
4644,0.20705,0.51931,0.2562,0.56508,0.621,0.249,0.23736,0.06042,0.24715,0.06628,0.394,0.194,0.59875,0.57654,0.33776,0.61974,0.642,0.31222,0.36659,0.45442,0.35327,0.841,0.102773427,0.219944216,0.5717253,0.402374489
4645,0.24745,0.64123,0.21143,0.65874,0.509,0.257,0.10586,0.08115,0.15039,0.09264,0.367,0.124,0.11547,0.55353,0.22274,0.5447,0.501,0.4841,0.30035,0.42686,0.29048,0.807,0.1090216,0.233178803,0.124523474,0.624099082
4646,0.52998,0.40662,0.50504,0.45183,0.414,0.43,0.11261,0.05858,0.10305,0.06785,0.286,0.108,0.52527,0.53636,0.40604,0.51678,0.506,0.57977,0.2835,0.47991,0.31565,0.667,0.368190572,0.170877931,0.283812306,0.307844568
4647,0.44545,0.33324,0.37414,0.36955,0.344,0.435,0.13333,0.05947,0.08737,0.05741,0.259,0.117,0.48265,0.3139,0.53372,0.2974,0.432,0.34976,0.20153,0.38292,0.20384,0.398,0.448648631,0.100313957,0.475995951,0.242360519
4648,0.48026,0.13015,0.46088,0.16733,0.309,0.462,0.09067,0.04973,0.1218,0.04828,0.176,0.093,0.42749,0.2555,0.41908,0.29737,0.33,0.43912,0.19307,0.37494,0.1843,0.263,0.351285057,0.259,0.219088689,0.240699037
4649,0.29359,0.10815,0.31908,0.10222,0.218,0.316,0.07171,0.02553,0.04981,0.02453,0.095,0.052,0.32136,0.10203,0.32527,0.10958,0.21,0.23191,0.12387,0.28031,0.12396,0.143,0.143059968,0.176,0.115012536,0.119221008
4650,0.03406,0.07456,0.10542,0.06025,0.11,0.103,0.05564,0.00742,0.06153,0.0071,0.052,0.055,0.02954,0.06159,0.01801,0.06267,0.127,0.10643,0.08422,0.08171,0.08085,0.062,0.032098337,0.095,0.101164577,0.081085977
4651,0.0057,0.01638,0.004,0.01438,0.042,0.013,0.02781,0.00087,0.01617,0.00029,0.018,0.026,0.04402,0.02352,0.00404,0.021,0.049,0.01542,0.03446,0.02919,0.03244,0.023,0.044713461,0.052,0.033972677,0.040400556
4652,0.01201,0.0005,0.0094,0.0007,0.002,0.013,0,0,0,0,0,0.001,0.01213,0.00143,0.01213,0.00148,0.003,0.00881,0.00145,0,0.00115,0,0.002203364,0,0.003117331,0.004031399
4653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000903352,5.70E-05
4661,0.00106,0.00188,0,0.00157,0.027,0.002,0,0,0,0,0.02,0,0.00157,0.01445,0.00419,0.01594,0.021,0.00111,0.01559,0.0042,0.01587,0.033,0.008615067,0,0.023053629,0.024707111
4662,0.06082,0.02485,0.05762,0.02687,0.115,0.048,0.05269,0.0053,0.04996,0.00449,0.078,0.042,0.01114,0.0797,0.00772,0.08258,0.076,0.05641,0.08619,0.05769,0.08841,0.143,0.041237849,0.02,0.043675654,0.069153454
4663,0.08457,0.10947,0.11897,0.09592,0.26,0.101,0.10514,0.01757,0.11681,0.0146,0.166,0.101,0.09705,0.14529,0.07389,0.17777,0.161,0.04793,0.18766,0.11002,0.20845,0.285,0.112784295,0.078,0.101090912,0.081998932
4664,0.24654,0.18172,0.09056,0.17913,0.432,0.174,0.02258,0.06085,0.03039,0.05777,0.284,0.057,0.12718,0.24915,0.1405,0.24723,0.25,0.21776,0.29145,0.10154,0.32033,0.365,0.082558561,0.166,0.067872203,0.097306146
4665,0.21969,0.4571,0.23194,0.4425,0.566,0.266,0.17758,0.05775,0.26842,0.06436,0.374,0.18,0.07659,0.26044,0.11032,0.34232,0.273,0.15923,0.39217,0.14944,0.39079,0.379,0.236206818,0.284,0.238903433,0.143484753
4666,0.46307,0.4805,0.56007,0.46939,0.65,0.469,0.31732,0.1136,0.30361,0.1151,0.435,0.269,0.33376,0.22558,0.39962,0.23898,0.243,0.16035,0.51491,0.16552,0.49454,0.366,0.548908238,0.374,0.393156592,0.099723772
4667,0.73659,0.56654,0.5589,0.5481,0.7,0.58,0.16322,0.21151,0.16926,0.24197,0.563,0.215,0.35426,0.3191,0.31635,0.31009,0.237,0.05456,0.4696,0.08249,0.49442,0.465,0.570575488,0.435,0.116814684,0.045214715
4668,0.5355,0.60432,0.42678,0.59002,0.719,0.596,0.22983,0.30781,0.17991,0.33858,0.63,0.239,0.05266,0.21994,0.05266,0.20607,0.254,0.19449,0.59711,0.33347,0.62189,0.377,0.575894145,0.563,0.160367682,0.254706017
4669,0.82371,0.63496,0.72886,0.61947,0.711,0.764,0.24218,0.23998,0.26981,0.27348,0.6,0.274,0.18778,0.42141,0.24336,0.36852,0.239,0.43811,0.28774,0.10636,0.33661,0.329,0.689959836,0.63,0.164224575,0.136451562
4670,0.74463,0.56202,0.76974,0.55343,0.656,0.74,0.23479,0.23553,0.1627,0.27545,0.402,0.233,0.13551,0.43425,0.1198,0.39194,0.251,0.07441,0.36931,0.05994,0.32459,0.367,0.636489236,0.6,0.275912476,0.313806176
4671,0.64337,0.53338,0.64776,0.50207,0.555,0.615,0.14247,0.17349,0.1821,0.22663,0.308,0.189,0.22474,0.38739,0.11447,0.37892,0.252,0.37982,0.42646,0.3132,0.38028,0.471,0.419148857,0.402,0.127834865,0.447164734
4672,0.36606,0.386,0.39469,0.39858,0.425,0.415,0.11931,0.08558,0.15911,0.10259,0.264,0.18,0.38758,0.27131,0.27901,0.24974,0.219,0.47261,0.35827,0.4917,0.35625,0.417,0.318289794,0.308,0.357639624,0.382354914
4673,0.25811,0.22114,0.20791,0.21462,0.27,0.265,0.11551,0.03416,0.15834,0.03203,0.186,0.135,0.2814,0.20218,0.26485,0.19455,0.154,0.33239,0.21426,0.33745,0.20275,0.288,0.139134679,0.264,0.129325061,0.161857292
4674,0.13233,0.0753,0.13583,0.07226,0.111,0.17,0.12376,0.04289,0.12645,0.03357,0.108,0.095,0.14111,0.07877,0.13367,0.07922,0.093,0.14595,0.06443,0.14188,0.06415,0.128,0.072164667,0.186,0.053625319,0.090400266
4675,0.03673,0.02359,0.04294,0.02359,0.042,0.07,0.04711,0.02388,0.05989,0.02278,0.046,0.058,0.0555,0.02551,0.04667,0.02506,0.04,0.06131,0.02657,0.05968,0.02669,0.046,0.022039405,0.108,0.020201449,0.023524278
4676,0.0107,0.00188,0.01135,0.00174,0.002,0.021,0.00024,0.00029,0,8.00E-05,0.002,0.005,0,0.00219,0,0.00171,0.003,0.01154,0.00066,0.01154,0.00042,0.003,0.001761192,0.046,0.00790762,0.004892826
4677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0
4678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115569,0
4685,0.00529,0.01662,0.00711,0.0173,0.033,0.008,0,0.0058,0,0.00622,0.029,0.001,0.00482,0.01478,0.00541,0.01471,0.03,0,0.01333,0.00473,0.01358,0.014,0.016958636,0.009026869,0.013774203,0.015352578
4686,0.00832,0.08223,0.01909,0.0859,0.147,0.022,0.01238,0.0445,0.01098,0.04035,0.083,0.017,0.05463,0.07741,0.05742,0.07978,0.141,0.06013,0.0733,0.06024,0.06837,0.114,0.042789884,0.045800012,0.035111094,0.045018357
4687,0.09664,0.11721,0.07343,0.15789,0.322,0.086,0.10441,0.08537,0.04933,0.09028,0.138,0.068,0.22507,0.20894,0.23821,0.21787,0.312,0.22998,0.26596,0.23535,0.26288,0.326,0.095258699,0.073717953,0.23827972,0.223194721
4688,0.20316,0.1085,0.21304,0.1572,0.452,0.186,0.12137,0.15542,0.12763,0.18002,0.244,0.121,0.42567,0.35767,0.44047,0.36853,0.473,0.35367,0.41086,0.35693,0.41632,0.484,0.114807307,0.145176779,0.416200258,0.400583095
4689,0.10238,0.13006,0.11982,0.18135,0.439,0.111,0.23504,0.13276,0.17245,0.16574,0.288,0.219,0.53162,0.56056,0.54324,0.56618,0.612,0.55713,0.38329,0.4738,0.42102,0.573,0.104278932,0.176343061,0.571684451,0.513071581
4690,0.13348,0.12609,0.12999,0.16776,0.451,0.12,0.33524,0.15868,0.3109,0.18937,0.372,0.302,0.53679,0.68607,0.71175,0.69084,0.705,0.52564,0.54116,0.58249,0.55664,0.581,0.115906713,0.170704851,0.679475298,0.593776338
4691,0.10025,0.09464,0.09591,0.10574,0.426,0.095,0.19681,0.2082,0.16504,0.23547,0.421,0.2,0.70168,0.6714,0.64399,0.66722,0.77,0.426,0.44435,0.43123,0.46965,0.53,0.11361033,0.151746441,0.59238435,0.434800629
4692,0.13387,0.11637,0.12257,0.1139,0.43,0.104,0.23699,0.13239,0.1595,0.15595,0.512,0.222,0.38936,0.61671,0.60754,0.63082,0.783,0.54494,0.38429,0.62435,0.39508,0.427,0.102799855,0.386802868,0.449310368,0.63292065
4693,0.0885,0.10831,0.09882,0.10109,0.503,0.107,0.27454,0.12429,0.36469,0.13164,0.547,0.302,0.51134,0.62768,0.70521,0.5915,0.762,0.45651,0.28329,0.5563,0.32423,0.338,0.204402333,0.284974967,0.530341028,0.225378303
4694,0.46164,0.13841,0.45021,0.11206,0.502,0.378,0.21801,0.22524,0.36494,0.21609,0.545,0.319,0.406,0.61606,0.59295,0.61306,0.701,0.55306,0.28888,0.38913,0.33025,0.321,0.317465977,0.386808005,0.359335495,0.297922339
4695,0.3793,0.27632,0.3093,0.20804,0.449,0.322,0.19672,0.10213,0.15724,0.11038,0.514,0.224,0.06678,0.46234,0.10823,0.42387,0.598,0.29879,0.2362,0.36686,0.23586,0.336,0.161908425,0.147112216,0.14685148,0.250399099
4696,0.43435,0.26648,0.36993,0.21284,0.313,0.34,0.25388,0.17834,0.21753,0.18315,0.359,0.209,0.07284,0.3404,0.05583,0.33726,0.446,0.32703,0.15428,0.27718,0.14144,0.287,0.180496544,0.123313879,0.050959931,0.26191604
4697,0.19361,0.16847,0.19361,0.15395,0.232,0.235,0.11361,0.1195,0.09304,0.13343,0.252,0.115,0.1155,0.20854,0.09456,0.20109,0.268,0.27683,0.12189,0.27387,0.11434,0.211,0.128653624,0.068719682,0.122839677,0.135679934
4698,0.13466,0.065,0.13972,0.06057,0.121,0.148,0.07613,0.05277,0.06936,0.05194,0.128,0.074,0.14392,0.07138,0.1345,0.075,0.118,0.10717,0.06002,0.10717,0.05899,0.106,0.058650715,0.084165055,0.077001069,0.064746714
4699,0.03421,0.0191,0.05048,0.01871,0.047,0.059,0.05939,0.01223,0.0554,0.01327,0.048,0.061,0.06053,0.02521,0.06053,0.02305,0.045,0.01131,0.01381,0.01065,0.01217,0.028,0.037300629,0.02549837,0.040536603,0.018062915
4700,0.00935,0.00059,0.0081,3.00E-05,0.002,0.011,0.00629,5.00E-05,0.00346,0,0.002,0.006,0.0109,0.00193,0.0109,0.00174,0.003,0.00243,0,0.00938,0,0,0.003168863,0.000770908,0.002958202,0.000589041
4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4709,0.00026,0.00863,0,0.00895,0.028,0.003,0.0036,0.01417,0.00254,0.01303,0.03,0.006,0.00596,0.01453,0.00657,0.01415,0.033,0,0.0014,0,0.00144,0.024,0.015600789,0.015828048,0.013355132,0.001703261
4710,0.05892,0.06166,0.05979,0.06063,0.137,0.083,0.05969,0.08207,0.06039,0.08278,0.123,0.081,0.06038,0.08218,0.05885,0.08041,0.133,0.01815,0.019,0.01162,0.01398,0.094,0.061745041,0.057074373,0.054771796,0.01516982
4711,0.19094,0.20151,0.20727,0.2031,0.323,0.225,0.20512,0.20819,0.19597,0.19415,0.261,0.237,0.17344,0.12026,0.20467,0.14329,0.312,0.0628,0.06359,0.05182,0.05922,0.2,0.243319637,0.243542975,0.236530923,0.039025961
4712,0.40583,0.36502,0.36491,0.37694,0.499,0.374,0.38889,0.30977,0.38959,0.31247,0.4,0.411,0.35644,0.32667,0.29132,0.32206,0.433,0.13396,0.09692,0.11794,0.08649,0.326,0.413803482,0.407543599,0.293776735,0.087483735
4713,0.43892,0.43812,0.47531,0.42365,0.637,0.456,0.57038,0.40924,0.57091,0.43859,0.62,0.585,0.22937,0.46402,0.32369,0.45418,0.52,0.12947,0.22374,0.11908,0.19109,0.431,0.506440449,0.594361353,0.303334094,0.113318252
4714,0.37704,0.51815,0.5291,0.53285,0.727,0.417,0.6836,0.46436,0.69371,0.47889,0.755,0.71,0.61669,0.42862,0.65648,0.44413,0.548,0.27352,0.30967,0.1833,0.30687,0.511,0.605767202,0.720419843,0.62776223,0.154877932
4715,0.60044,0.5578,0.37648,0.51289,0.794,0.539,0.7495,0.54313,0.74985,0.53919,0.808,0.781,0.54563,0.45651,0.55413,0.47232,0.469,0.29041,0.26823,0.20991,0.2978,0.619,0.596492482,0.77671613,0.538525189,0.235953451
4716,0.67133,0.60422,0.56621,0.57515,0.807,0.653,0.76738,0.68985,0.77514,0.68557,0.813,0.804,0.68994,0.47513,0.7399,0.44392,0.405,0.33584,0.45633,0.50085,0.4102,0.664,0.479643452,0.785531641,0.386759743,0.648167072
4717,0.73266,0.48053,0.69655,0.46984,0.772,0.703,0.7649,0.72373,0.77529,0.72977,0.774,0.792,0.5419,0.57904,0.63532,0.52327,0.447,0.56584,0.23628,0.50355,0.21096,0.636,0.67289417,0.747122404,0.52920876,0.151025957
4718,0.63317,0.47007,0.66641,0.47952,0.702,0.663,0.7056,0.66359,0.71879,0.66866,0.698,0.734,0.65414,0.47261,0.70405,0.42616,0.412,0.25677,0.27844,0.28171,0.25516,0.581,0.50045014,0.677283785,0.695269174,0.104915333
4719,0.51771,0.50068,0.55088,0.47378,0.59,0.542,0.61874,0.55344,0.61922,0.55959,0.56,0.635,0.54306,0.39514,0.52023,0.3492,0.493,0.09471,0.2635,0.08878,0.30958,0.403,0.550803619,0.534338518,0.511506856,0.152160812
4720,0.46947,0.3173,0.45175,0.3095,0.443,0.458,0.47698,0.39943,0.48471,0.39492,0.415,0.494,0.51731,0.37022,0.51525,0.34179,0.391,0.4075,0.14342,0.40439,0.16263,0.27,0.390588614,0.382174593,0.404218114,0.186900722
4721,0.30776,0.21096,0.31325,0.20353,0.276,0.328,0.31733,0.21165,0.32112,0.21074,0.272,0.336,0.33278,0.22386,0.33285,0.22031,0.247,0.1639,0.07818,0.11028,0.08506,0.182,0.117067296,0.115791436,0.132985481,0.083577762
4722,0.12546,0.06832,0.1258,0.06763,0.114,0.164,0.1299,0.08149,0.12841,0.0782,0.118,0.165,0.13427,0.08781,0.13092,0.07917,0.121,0.13871,0.05054,0.12311,0.05021,0.112,0.045442609,0.043043477,0.072902137,0.068624394
4723,0.0417,0.02399,0.04094,0.02335,0.039,0.071,0.03662,0.02844,0.03965,0.02581,0.043,0.068,0.04933,0.03531,0.0446,0.03646,0.042,0.04715,0.0172,0.03559,0.01565,0.043,0.021813418,0.011505023,0.023560584,0.012970956
4724,0.00981,0.00154,0.00981,0.00134,0.002,0.017,0.00797,0.00123,0.00797,0.00096,0.002,0.011,0,0.00172,0.00149,0.00154,0.001,0.00397,0,0.00566,0,0.001,0.003538478,0.000615347,0.006836312,0.000565158
4725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4733,0.00024,0.01532,0,0.01618,0.014,0.001,0.00571,0.01137,0.0063,0.0116,0.024,0.008,0.00523,0.00398,0.00523,0.00429,0.025,0,0.00143,0,0.00096,0.015,0.010064616,0.011721311,0.002413894,0.015965596
4734,0.05413,0.08209,0.05284,0.08301,0.046,0.068,0.05391,0.07952,0.05168,0.07992,0.13,0.09,0.01164,0.02991,0.01164,0.02746,0.113,0.04134,0.02546,0.0549,0.01962,0.09,0.061666235,0.051707896,0.019826992,0.07326024
4735,0.10524,0.21121,0.11345,0.20984,0.149,0.119,0.21269,0.26449,0.20792,0.26646,0.304,0.248,0.1129,0.09,0.10522,0.09044,0.26,0.19663,0.09377,0.20779,0.09046,0.272,0.207431602,0.216189702,0.067329465,0.20449931
4736,0.263,0.40182,0.33999,0.40129,0.396,0.295,0.39992,0.44576,0.38569,0.45158,0.48,0.408,0.135,0.13703,0.13324,0.12868,0.42,0.41182,0.18204,0.4212,0.17152,0.442,0.336529412,0.392818827,0.142094188,0.472745368
4737,0.54281,0.55222,0.51352,0.54605,0.595,0.532,0.51803,0.6087,0.51296,0.61191,0.613,0.525,0.15238,0.16369,0.13299,0.16315,0.497,0.58207,0.2703,0.58319,0.25833,0.607,0.560659729,0.548425385,0.113161016,0.629854907
4738,0.6602,0.65137,0.64872,0.6483,0.687,0.681,0.66652,0.71968,0.68925,0.72027,0.713,0.653,0.11151,0.23843,0.11668,0.22458,0.541,0.69419,0.56236,0.70331,0.53347,0.73,0.639889511,0.671995652,0.171806296,0.734059555
4739,0.69417,0.65474,0.71868,0.66716,0.747,0.724,0.7754,0.78368,0.76398,0.78607,0.779,0.729,0.17959,0.20271,0.2038,0.2285,0.639,0.75969,0.63206,0.76742,0.62218,0.801,0.750361342,0.686621775,0.298499484,0.782051204
4740,0.5543,0.58281,0.61185,0.57985,0.765,0.629,0.81467,0.80066,0.80724,0.80313,0.795,0.761,0.25957,0.29089,0.25623,0.30597,0.733,0.79851,0.74503,0.80284,0.75039,0.828,0.558174651,0.806500355,0.316214709,0.790216252
4741,0.6362,0.58099,0.64376,0.56854,0.754,0.645,0.8013,0.73544,0.79856,0.74713,0.762,0.75,0.15173,0.29784,0.13802,0.28977,0.708,0.7954,0.74879,0.7991,0.757,0.796,0.75818171,0.66111245,0.206754909,0.761961853
4742,0.57441,0.40933,0.63739,0.41894,0.686,0.613,0.57591,0.61265,0.58362,0.63714,0.694,0.607,0.19171,0.27639,0.22806,0.27796,0.644,0.72633,0.68688,0.74765,0.6899,0.723,0.60191168,0.524388046,0.324236576,0.679603841
4743,0.52063,0.50815,0.52263,0.48806,0.578,0.551,0.49206,0.52042,0.48698,0.53656,0.582,0.544,0.28636,0.18975,0.37776,0.19846,0.545,0.62761,0.56665,0.64727,0.57326,0.608,0.473315873,0.441357295,0.378440951,0.468625825
4744,0.46485,0.33211,0.46624,0.32567,0.435,0.474,0.47518,0.39256,0.49115,0.38977,0.425,0.479,0.4214,0.14755,0.40971,0.15155,0.414,0.498,0.43405,0.49741,0.43453,0.462,0.378010252,0.238127476,0.326745236,0.393209526
4745,0.3036,0.20659,0.30647,0.19716,0.271,0.324,0.31945,0.19898,0.31577,0.20194,0.245,0.326,0.31449,0.10853,0.2988,0.11094,0.258,0.31642,0.24106,0.31733,0.23599,0.289,0.123088456,0.15951588,0.156693144,0.099803628
4746,0.1263,0.0649,0.12373,0.06345,0.117,0.163,0.12573,0.0682,0.12496,0.06612,0.115,0.164,0.12225,0.05368,0.12624,0.05274,0.12,0.1269,0.06981,0.13261,0.06848,0.115,0.053370161,0.050624898,0.062504533,0.032211962
4747,0.05217,0.01732,0.05063,0.01718,0.042,0.074,0.05362,0.01998,0.05675,0.02012,0.043,0.071,0.04417,0.02473,0.052,0.02341,0.041,0.04937,0.02503,0.05015,0.02394,0.037,0.026594287,0.021271814,0.023165253,0.013073994
4748,0.00849,0.00077,0.00911,0.00071,0.002,0.015,0.00501,0.00093,0.00338,0.0007,0.001,0.005,0.00343,0.00139,0.00022,0.00119,0.002,0.00931,0.00169,0.00995,0.00137,0.002,0.00258531,0.003332855,0.00252781,0.002293335
4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
