time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20231024:1409,595.45,701.09,31.79,20.58,5.31,0.0,0.59545
20231024:1509,422.66,499.43,23.03,19.94,5.03,0.0,0.42266000000000004
20231024:1609,202.29,259.23,12.75,19.06,4.55,0.0,0.20229
20231024:1709,0.0,5.68,1.53,18.0,3.86,0.0,0.0
20231024:1809,0.0,0.0,0.0,17.27,3.45,0.0,0.0
20231024:1909,0.0,0.0,0.0,17.55,3.24,0.0,0.0
20231024:2009,0.0,0.0,0.0,17.0,3.03,0.0,0.0
20231024:2109,0.0,0.0,0.0,16.79,2.62,0.0,0.0
20231024:2209,0.0,0.0,0.0,16.33,2.34,0.0,0.0
20231024:2309,0.0,0.0,0.0,15.77,2.34,0.0,0.0
20231025:0009,0.0,0.0,0.0,15.57,2.34,0.0,0.0
20231025:0109,0.0,0.0,0.0,15.27,2.83,0.0,0.0
20231025:0209,0.0,0.0,0.0,15.27,2.9,0.0,0.0
20231025:0309,0.0,0.0,0.0,15.15,3.1,0.0,0.0
20231025:0409,0.0,0.0,0.0,15.14,2.9,0.0,0.0
20231025:0509,0.0,0.0,0.0,15.21,2.76,0.0,0.0
20231025:0609,0.0,0.0,0.0,15.17,2.9,0.0,0.0
20231025:0709,6.27,17.47,7.49,15.63,2.76,0.0,0.0062699999999999995
20231025:0809,109.05,141.59,18.24,17.0,2.76,0.0,0.10905
20231025:0909,440.28,521.3,27.75,19.59,3.17,0.0,0.44027999999999995
20231025:1009,628.85,752.01,35.31,21.01,3.79,0.0,0.62885
20231025:1109,657.73,790.18,39.97,22.09,4.41,0.0,0.65773
20231025:1209,544.89,652.43,40.89,22.78,4.69,0.0,0.54489
20231025:1309,315.87,382.08,37.85,23.13,4.76,0.0,0.31587
20231025:1409,467.55,558.09,31.48,22.96,4.62,0.0,0.46755
20231025:1509,276.24,335.58,22.75,22.57,4.48,0.0,0.27624
20231025:1609,51.43,77.2,12.5,21.91,4.07,0.0,0.05143
20231025:1709,0.0,2.84,1.3,20.96,3.24,0.0,0.0
20231025:1809,0.0,0.0,0.0,20.24,2.9,0.0,0.0
20231025:1909,0.0,0.0,0.0,20.34,2.48,0.0,0.0
20231025:2009,0.0,0.0,0.0,19.61,2.28,0.0,0.0
20231025:2109,0.0,0.0,0.0,18.94,2.14,0.0,0.0
20231025:2209,0.0,0.0,0.0,18.13,2.0,0.0,0.0
20231025:2309,0.0,0.0,0.0,17.26,2.0,0.0,0.0
20231026:0009,0.0,0.0,0.0,16.77,1.79,0.0,0.0
20231026:0109,0.0,0.0,0.0,16.41,1.66,0.0,0.0
20231026:0209,0.0,0.0,0.0,15.77,1.86,0.0,0.0
20231026:0309,0.0,0.0,0.0,15.39,1.93,0.0,0.0
20231026:0409,0.0,0.0,0.0,15.0,2.0,0.0,0.0
20231026:0509,0.0,0.0,0.0,14.73,2.0,0.0,0.0
20231026:0609,0.0,0.0,0.0,14.67,1.93,0.0,0.0
20231026:0709,82.92,120.74,7.29,15.6,1.59,0.0,0.08292000000000001
20231026:0809,286.83,347.14,18.0,17.49,1.38,0.0,0.28683
20231026:0909,452.7,543.97,27.48,20.6,1.93,0.0,0.4527
20231026:1009,572.6,691.52,35.0,22.01,2.9,0.0,0.5726
20231026:1109,716.83,873.22,39.64,22.96,3.86,0.0,0.7168300000000001
20231026:1209,379.78,457.36,40.54,23.46,4.76,0.0,0.37977999999999995
20231026:1309,698.41,840.93,37.52,23.75,5.38,0.0,0.69841
20231026:1409,496.96,592.83,31.18,23.93,5.66,0.0,0.49695999999999996
