time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20230108:0930,366.57,420.18,19.02,13.28,4.48,0.0,0.36657
20230108:1030,359.78,413.08,25.73,15.17,5.38,0.0,0.35978
20230108:1130,351.18,405.19,29.82,15.88,5.93,0.0,0.35118
20230108:1230,335.12,388.1,30.73,16.54,6.41,0.0,0.33512000000000003
20230108:1330,328.2,380.03,28.32,17.08,6.76,0.0,0.3282
20230108:1430,240.94,284.07,22.95,17.09,6.76,0.0,0.24094
20230108:1530,181.41,221.42,15.28,16.53,5.72,0.0,0.18141
20230108:1630,23.07,40.66,5.94,16.11,5.24,0.0,0.02307
20230108:1730,0.0,0.0,-4.53,15.47,5.17,0.0,0.0
20230108:1830,0.0,0.0,0.0,14.95,4.97,0.0,0.0
20230108:1930,0.0,0.0,0.0,15.29,4.97,0.0,0.0
20230108:2030,0.0,0.0,0.0,14.99,4.97,0.0,0.0
20230108:2130,0.0,0.0,0.0,14.86,4.83,0.0,0.0
20230108:2230,0.0,0.0,0.0,14.79,4.62,0.0,0.0
20230108:2330,0.0,0.0,0.0,14.63,4.41,0.0,0.0
20230109:0030,0.0,0.0,0.0,14.4,4.28,0.0,0.0
20230109:0130,0.0,0.0,0.0,14.21,4.14,0.0,0.0
20230109:0230,0.0,0.0,0.0,13.95,4.07,0.0,0.0
20230109:0330,0.0,0.0,0.0,13.65,3.79,0.0,0.0
20230109:0430,0.0,0.0,0.0,13.37,3.66,0.0,0.0
20230109:0530,0.0,0.0,0.0,13.2,3.52,0.0,0.0
20230109:0630,0.0,0.0,0.0,13.1,3.45,0.0,0.0
20230109:0730,1.65,9.42,0.38,13.27,3.79,0.0,0.00165
20230109:0830,183.37,225.95,10.41,13.3,3.66,0.0,0.18337
20230109:0930,365.02,423.44,19.08,14.74,3.24,0.0,0.36501999999999996
20230109:1030,529.68,617.42,25.82,17.23,3.59,0.0,0.5296799999999999
20230109:1130,612.98,720.05,29.94,18.91,4.14,0.0,0.61298
20230109:1230,648.47,767.27,30.87,19.97,4.28,0.0,0.64847
20230109:1330,602.49,714.95,28.48,20.83,4.0,0.0,0.60249
20230109:1430,478.16,568.56,23.12,21.21,3.38,0.0,0.47816000000000003
20230109:1530,320.34,389.64,15.44,21.08,2.9,0.0,0.32033999999999996
20230109:1630,11.02,24.95,6.1,20.3,2.55,0.0,0.01102
20230109:1730,0.0,0.0,-4.37,19.21,2.0,0.0,0.0
20230109:1830,0.0,0.0,0.0,18.16,1.52,0.0,0.0
20230109:1930,0.0,0.0,0.0,16.78,1.52,0.0,0.0
20230109:2030,0.0,0.0,0.0,15.47,1.45,0.0,0.0
20230109:2130,0.0,0.0,0.0,14.46,1.52,0.0,0.0
20230109:2230,0.0,0.0,0.0,13.59,1.59,0.0,0.0
20230109:2330,0.0,0.0,0.0,13.2,1.52,0.0,0.0
20230110:0030,0.0,0.0,0.0,13.24,1.38,0.0,0.0
20230110:0130,0.0,0.0,0.0,12.89,1.38,0.0,0.0
20230110:0230,0.0,0.0,0.0,12.24,1.45,0.0,0.0
20230110:0330,0.0,0.0,0.0,11.44,1.59,0.0,0.0
20230110:0430,0.0,0.0,0.0,11.03,1.59,0.0,0.0
20230110:0530,0.0,0.0,0.0,10.78,1.66,0.0,0.0
20230110:0630,0.0,0.0,0.0,11.14,1.59,0.0,0.0
20230110:0730,0.86,7.72,0.4,11.1,1.66,0.0,0.00086
20230110:0830,213.21,260.34,10.45,11.64,1.59,0.0,0.21321
20230110:0930,338.0,397.84,19.15,14.65,0.97,0.0,0.338
20230110:1030,537.43,642.02,25.92,15.82,0.69,0.0,0.53743
20230110:1130,627.54,759.11,30.06,17.34,1.1,0.0,0.62754
20230110:1230,647.79,782.98,31.02,18.15,1.59,0.0,0.64779
20230110:1330,601.66,721.04,28.65,18.6,1.93,0.0,0.60166
20230110:1430,495.43,588.85,23.29,18.81,2.14,0.0,0.49543
20230110:1530,327.56,395.0,15.61,18.67,2.21,0.0,0.32756
20230110:1630,12.16,26.37,6.27,17.97,2.07,0.0,0.01216
20230110:1730,0.0,0.0,-4.21,16.92,1.59,0.0,0.0
20230110:1830,0.0,0.0,0.0,16.03,1.52,0.0,0.0
20230110:1930,0.0,0.0,0.0,15.42,1.24,0.0,0.0
20230110:2030,0.0,0.0,0.0,14.45,1.38,0.0,0.0
20230110:2130,0.0,0.0,0.0,13.71,1.52,0.0,0.0
20230110:2230,0.0,0.0,0.0,12.84,1.66,0.0,0.0
20230110:2330,0.0,0.0,0.0,11.96,1.79,0.0,0.0
20230111:0030,0.0,0.0,0.0,11.3,1.93,0.0,0.0
20230111:0130,0.0,0.0,0.0,10.78,2.0,0.0,0.0
20230111:0230,0.0,0.0,0.0,10.44,2.0,0.0,0.0
20230111:0330,0.0,0.0,0.0,10.09,2.0,0.0,0.0
20230111:0430,0.0,0.0,0.0,9.69,2.07,0.0,0.0
20230111:0530,0.0,0.0,0.0,9.23,2.07,0.0,0.0
20230111:0630,0.0,0.0,0.0,8.78,2.14,0.0,0.0
20230111:0730,1.13,8.25,0.43,8.82,2.14,0.0,0.00113
20230111:0830,223.01,267.37,10.5,8.75,2.14,0.0,0.22300999999999999
20230111:0930,416.15,480.67,19.23,11.95,1.72,0.0,0.41614999999999996
20230111:1030,541.8,642.09,26.02,16.31,1.45,0.0,0.5418
20230111:1130,618.73,745.49,30.2,18.45,1.66,0.0,0.61873
20230111:1230,654.74,793.4,31.18,19.22,1.86,0.0,0.65474
20230111:1330,597.35,720.78,28.82,19.57,1.79,0.0,0.59735
20230111:1430,500.38,600.26,23.47,19.57,1.66,0.0,0.50038
20230111:1530,328.09,397.42,15.79,19.08,1.72,0.0,0.32809
20230111:1630,12.45,26.79,6.44,18.11,1.52,0.0,0.01245
20230111:1730,0.0,0.0,-4.04,16.87,1.17,0.0,0.0
20230111:1830,0.0,0.0,0.0,15.76,1.24,0.0,0.0
20230111:1930,0.0,0.0,0.0,15.01,1.1,0.0,0.0
20230111:2030,0.0,0.0,0.0,13.66,1.59,0.0,0.0
20230111:2130,0.0,0.0,0.0,12.67,1.93,0.0,0.0
20230111:2230,0.0,0.0,0.0,12.01,1.93,0.0,0.0
20230111:2330,0.0,0.0,0.0,11.33,1.72,0.0,0.0
20230112:0030,0.0,0.0,0.0,10.77,1.59,0.0,0.0
20230112:0130,0.0,0.0,0.0,10.45,1.59,0.0,0.0
20230112:0230,0.0,0.0,0.0,10.04,1.72,0.0,0.0
20230112:0330,0.0,0.0,0.0,9.8,1.86,0.0,0.0
20230112:0430,0.0,0.0,0.0,9.47,2.14,0.0,0.0
20230112:0530,0.0,0.0,0.0,9.25,2.41,0.0,0.0
20230112:0630,0.0,0.0,0.0,9.11,2.48,0.0,0.0
20230112:0730,1.04,8.06,0.47,8.67,2.28,0.0,0.0010400000000000001
20230112:0830,228.71,273.84,10.56,8.79,2.21,0.0,0.22871
20230112:0930,422.19,484.32,19.31,11.14,2.07,0.0,0.42219
20230112:1030,557.7,644.98,26.13,14.53,2.97,0.0,0.5577000000000001
20230112:1130,609.16,707.45,30.34,15.5,3.38,0.0,0.6091599999999999
20230112:1230,625.24,728.76,31.34,16.23,3.52,0.0,0.62524
20230112:1330,538.76,628.16,29.0,16.97,3.31,0.0,0.53876
20230112:1430,492.5,574.63,23.65,16.88,3.17,0.0,0.4925
20230112:1530,308.23,366.88,15.97,16.82,3.1,0.0,0.30823
20230112:1630,14.26,29.11,6.62,16.31,3.1,0.0,0.01426
20230112:1730,0.0,0.0,-3.88,14.86,2.48,0.0,0.0
20230112:1830,0.0,0.0,0.0,13.87,1.59,0.0,0.0
20230112:1930,0.0,0.0,0.0,13.4,1.03,0.0,0.0
20230112:2030,0.0,0.0,0.0,13.03,0.34,0.0,0.0
20230112:2130,0.0,0.0,0.0,12.66,0.41,0.0,0.0
20230112:2230,0.0,0.0,0.0,12.27,0.83,0.0,0.0
20230112:2330,0.0,0.0,0.0,11.8,1.1,0.0,0.0
20230113:0030,0.0,0.0,0.0,11.0,1.31,0.0,0.0
20230113:0130,0.0,0.0,0.0,9.99,1.52,0.0,0.0
20230113:0230,0.0,0.0,0.0,9.35,1.72,0.0,0.0
20230113:0330,0.0,0.0,0.0,8.75,1.79,0.0,0.0
20230113:0430,0.0,0.0,0.0,8.2,1.86,0.0,0.0
20230113:0530,0.0,0.0,0.0,7.71,1.86,0.0,0.0
20230113:0630,0.0,0.0,0.0,7.27,1.93,0.0,0.0
20230113:0730,1.5,8.98,0.51,8.19,2.0,0.0,0.0015
20230113:0830,210.24,252.66,10.62,8.08,1.86,0.0,0.21024
20230113:0930,377.02,432.97,19.4,10.36,1.52,0.0,0.37701999999999997
20230113:1030,483.74,566.15,26.25,14.28,1.24,0.0,0.48374
20230113:1130,612.06,726.93,30.48,15.97,1.72,0.0,0.6120599999999999
20230113:1230,593.85,704.75,31.52,16.87,2.0,0.0,0.59385
20230113:1330,582.22,688.42,29.18,17.19,2.34,0.0,0.5822200000000001
20230113:1430,457.95,537.6,23.84,17.2,2.55,0.0,0.45794999999999997
20230113:1530,227.52,274.96,16.16,16.72,2.48,0.0,0.22752
20230113:1630,17.57,33.51,6.8,15.84,2.14,0.0,0.01757
20230113:1730,0.0,0.0,-3.7,14.85,1.52,0.0,0.0
20230113:1830,0.0,0.0,0.0,14.04,1.24,0.0,0.0
20230113:1930,0.0,0.0,0.0,12.97,1.17,0.0,0.0
