time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20191103:2330,0.0,0.0,0.0,5.72,0.9,0.0,0.0
20191104:0030,0.0,0.0,0.0,4.93,1.1,0.0,0.0
20191104:0130,0.0,0.0,0.0,4.53,1.17,0.0,0.0
20191104:0230,0.0,0.0,0.0,4.52,1.1,0.0,0.0
20191104:0330,0.0,0.0,0.0,4.53,1.03,0.0,0.0
20191104:0430,0.0,0.0,0.0,4.14,1.17,0.0,0.0
20191104:0530,0.0,0.0,0.0,4.27,1.03,0.0,0.0
20191104:0630,2.94,11.54,2.17,5.07,0.76,0.0,0.00294
20191104:0730,115.21,158.53,11.34,5.14,0.97,0.0,0.11520999999999999
20191104:0830,326.98,390.99,19.23,7.27,0.76,0.0,0.32698
20191104:0930,458.28,555.41,25.26,10.37,0.21,0.0,0.45827999999999997
20191104:1030,448.98,546.06,28.84,12.49,0.21,0.0,0.44898000000000005
20191104:1130,403.18,484.73,29.49,13.91,0.97,0.0,0.40318
20191104:1230,300.59,358.5,27.13,14.69,1.24,0.0,0.30058999999999997
20191104:1330,236.66,283.07,22.08,14.57,1.31,0.0,0.23666
20191104:1430,172.41,211.77,14.92,14.38,0.97,0.0,0.17241
20191104:1530,59.39,84.98,6.24,13.98,0.76,0.0,0.05939
20191104:1630,0.0,0.0,-3.46,12.85,0.62,0.0,0.0
20191104:1730,0.0,0.0,0.0,12.08,0.48,0.0,0.0
20191104:1830,0.0,0.0,0.0,11.48,0.28,0.0,0.0
20191104:1930,0.0,0.0,0.0,11.1,0.69,0.0,0.0
20191104:2030,0.0,0.0,0.0,10.56,0.83,0.0,0.0
20191104:2130,0.0,0.0,0.0,9.08,1.1,0.0,0.0
20191104:2230,0.0,0.0,0.0,8.23,1.31,0.0,0.0
20191104:2330,0.0,0.0,0.0,8.56,1.17,0.0,0.0
20191105:0030,0.0,0.0,0.0,8.89,0.97,0.0,0.0
20191105:0130,0.0,0.0,0.0,9.34,0.62,0.0,0.0
20191105:0230,0.0,0.0,0.0,9.48,0.48,0.0,0.0
20191105:0330,0.0,0.0,0.0,9.73,0.21,0.0,0.0
20191105:0430,0.0,0.0,0.0,9.68,0.0,0.0,0.0
20191105:0530,0.0,0.0,0.0,9.51,0.0,0.0,0.0
20191105:0630,2.61,11.13,1.94,9.35,0.34,0.0,0.00261
20191105:0730,92.82,132.31,11.09,8.21,0.34,0.0,0.09282
20191105:0830,303.4,367.91,18.95,8.9,0.07,0.0,0.3034
20191105:0930,468.11,569.64,24.97,10.86,0.21,0.0,0.46811
20191105:1030,518.57,635.23,28.53,12.22,0.62,0.0,0.5185700000000001
20191105:1130,525.71,644.43,29.19,13.13,0.9,0.0,0.52571
20191105:1230,446.03,539.19,26.84,13.69,1.03,0.0,0.44603
20191105:1330,296.1,353.21,21.81,13.62,1.03,0.0,0.29610000000000003
20191105:1430,256.03,307.23,14.67,13.63,0.9,0.0,0.25603
20191105:1530,64.26,90.49,6.01,13.41,0.48,0.0,0.06426000000000001
20191105:1630,0.0,0.0,-3.67,12.58,0.41,0.0,0.0
20191105:1730,0.0,0.0,0.0,10.23,1.03,0.0,0.0
20191105:1830,0.0,0.0,0.0,8.41,1.31,0.0,0.0
20191105:1930,0.0,0.0,0.0,8.96,1.24,0.0,0.0
20191105:2030,0.0,0.0,0.0,9.04,1.1,0.0,0.0
20191105:2130,0.0,0.0,0.0,8.75,0.97,0.0,0.0
20191105:2230,0.0,0.0,0.0,6.62,1.38,0.0,0.0
20191105:2330,0.0,0.0,0.0,6.81,1.1,0.0,0.0
20191106:0030,0.0,0.0,0.0,6.32,1.17,0.0,0.0
20191106:0130,0.0,0.0,0.0,5.91,1.24,0.0,0.0
20191106:0230,0.0,0.0,0.0,5.8,1.03,0.0,0.0
20191106:0330,0.0,0.0,0.0,5.88,0.97,0.0,0.0
20191106:0430,0.0,0.0,0.0,5.04,1.38,0.0,0.0
20191106:0530,0.0,0.0,0.0,4.92,1.45,0.0,0.0
20191106:0630,2.62,10.99,1.7,4.89,1.31,0.0,0.00262
20191106:0730,75.91,104.74,10.83,5.08,1.24,0.0,0.07590999999999999
20191106:0830,235.76,282.33,18.68,7.69,0.97,0.0,0.23576
20191106:0930,361.33,431.08,24.67,10.25,0.41,0.0,0.36133
20191106:1030,477.91,581.84,28.23,11.61,0.34,0.0,0.47791
20191106:1130,582.45,727.58,28.88,12.6,0.55,0.0,0.58245
20191106:1230,531.67,654.44,26.55,13.29,0.76,0.0,0.53167
20191106:1330,522.61,640.39,21.54,13.4,0.97,0.0,0.52261
20191106:1430,396.1,476.07,14.42,13.36,1.1,0.0,0.3961
20191106:1530,192.51,238.81,5.79,12.91,0.97,0.0,0.19251
20191106:1630,0.0,0.0,-3.87,11.66,0.97,0.0,0.0
20191106:1730,0.0,0.0,0.0,11.28,0.69,0.0,0.0
20191106:1830,0.0,0.0,0.0,10.66,0.21,0.0,0.0
20191106:1930,0.0,0.0,0.0,9.47,0.34,0.0,0.0
20191106:2030,0.0,0.0,0.0,9.03,0.55,0.0,0.0
20191106:2130,0.0,0.0,0.0,7.5,1.1,0.0,0.0
20191106:2230,0.0,0.0,0.0,5.83,1.17,0.0,0.0
20191106:2330,0.0,0.0,0.0,5.33,1.1,0.0,0.0
20191107:0030,0.0,0.0,0.0,4.53,1.24,0.0,0.0
20191107:0130,0.0,0.0,0.0,4.06,1.31,0.0,0.0
20191107:0230,0.0,0.0,0.0,3.44,1.31,0.0,0.0
20191107:0330,0.0,0.0,0.0,2.72,1.45,0.0,0.0
20191107:0430,0.0,0.0,0.0,2.3,1.45,0.0,0.0
20191107:0530,0.0,0.0,0.0,2.64,1.38,0.0,0.0
20191107:0630,0.79,7.42,1.46,3.47,1.1,0.0,0.00079
20191107:0730,30.01,48.59,10.58,4.33,1.17,0.0,0.030010000000000002
20191107:0830,43.02,63.02,18.41,5.87,1.1,0.0,0.04302
20191107:0930,57.91,80.04,24.39,6.61,1.1,0.0,0.057909999999999996
20191107:1030,82.91,107.91,27.93,7.03,1.1,0.0,0.08291
20191107:1130,56.16,78.51,28.59,7.36,0.97,0.0,0.056159999999999995
20191107:1230,48.47,69.73,26.26,7.44,0.9,0.0,0.04847
20191107:1330,26.92,44.31,21.28,7.56,0.9,0.0,0.026920000000000003
20191107:1430,9.61,21.87,14.19,7.55,0.83,0.0,0.009609999999999999
20191107:1530,0.0,5.37,5.57,7.46,0.69,0.0,0.0
20191107:1630,0.0,0.0,0.0,7.26,0.9,0.0,0.0
20191107:1730,0.0,0.0,0.0,7.13,1.03,0.0,0.0
20191107:1830,0.0,0.0,0.0,7.06,0.97,0.0,0.0
20191107:1930,0.0,0.0,0.0,6.91,0.97,0.0,0.0
20191107:2030,0.0,0.0,0.0,6.77,0.9,0.0,0.0
20191107:2130,0.0,0.0,0.0,6.59,0.9,0.0,0.0
20191107:2230,0.0,0.0,0.0,6.41,0.9,0.0,0.0
20191107:2330,0.0,0.0,0.0,6.28,0.76,0.0,0.0
20191108:0030,0.0,0.0,0.0,6.24,0.76,0.0,0.0
20191108:0130,0.0,0.0,0.0,6.2,0.69,0.0,0.0
20191108:0230,0.0,0.0,0.0,6.22,0.48,0.0,0.0
20191108:0330,0.0,0.0,0.0,6.24,0.55,0.0,0.0
20191108:0430,0.0,0.0,0.0,6.26,0.62,0.0,0.0
20191108:0530,0.0,0.0,0.0,6.4,0.62,0.0,0.0
20191108:0630,0.62,7.09,1.23,6.6,0.34,0.0,0.00062
20191108:0730,45.54,69.13,10.33,6.27,0.62,0.0,0.04554
20191108:0830,204.29,246.72,18.14,7.04,0.41,0.0,0.20429
20191108:0930,414.35,490.25,24.1,7.93,0.48,0.0,0.41435
20191108:1030,440.62,517.63,27.64,9.01,1.03,0.0,0.44062
20191108:1130,325.76,380.4,28.3,9.6,1.17,0.0,0.32576
20191108:1230,273.47,321.56,25.99,9.94,1.03,0.0,0.27347000000000005
20191108:1330,348.85,408.88,21.02,10.12,1.17,0.0,0.34885000000000005
