time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20200107:1810,0.0,0.0,0.0,3.0,1.03,0.0,0.0
20200107:1910,0.0,0.0,0.0,1.3,1.31,0.0,0.0
20200107:2010,0.0,0.0,0.0,1.15,1.17,0.0,0.0
20200107:2110,0.0,0.0,0.0,1.22,1.03,0.0,0.0
20200107:2210,0.0,0.0,0.0,1.75,0.69,0.0,0.0
20200107:2310,0.0,0.0,0.0,1.49,0.55,0.0,0.0
20200108:0010,0.0,0.0,0.0,1.13,0.69,0.0,0.0
20200108:0110,0.0,0.0,0.0,0.39,0.76,0.0,0.0
20200108:0210,0.0,0.0,0.0,0.32,0.41,0.0,0.0
20200108:0310,0.0,0.0,0.0,-0.05,0.28,0.0,0.0
20200108:0410,0.0,0.0,0.0,-0.2,0.34,0.0,0.0
20200108:0510,0.0,0.0,0.0,-0.2,0.41,0.0,0.0
20200108:0610,0.0,0.0,0.0,-0.24,0.41,0.0,0.0
20200108:0710,0.0,0.0,0.0,-0.51,0.21,0.0,0.0
20200108:0810,98.87,133.91,8.09,-0.09,0.28,0.0,0.09887
20200108:0910,296.02,345.88,15.0,1.32,0.28,0.0,0.29602
20200108:1010,421.29,496.7,19.94,5.21,0.0,0.0,0.42129
20200108:1110,514.9,619.22,22.44,7.49,0.28,0.0,0.5149
20200108:1210,570.08,694.47,22.22,8.48,0.48,0.0,0.57008
20200108:1310,581.61,709.98,19.3,9.0,0.62,0.0,0.58161
20200108:1410,470.46,562.5,14.01,8.84,0.48,0.0,0.47046
20200108:1510,311.42,368.53,6.83,7.85,0.55,0.0,0.31142000000000003
20200108:1610,0.0,0.0,0.0,6.49,0.9,0.0,0.0
20200108:1710,0.0,0.0,0.0,5.59,0.83,0.0,0.0
20200108:1810,0.0,0.0,0.0,4.96,0.69,0.0,0.0
20200108:1910,0.0,0.0,0.0,4.34,0.76,0.0,0.0
20200108:2010,0.0,0.0,0.0,3.59,0.83,0.0,0.0
20200108:2110,0.0,0.0,0.0,2.57,0.83,0.0,0.0
20200108:2210,0.0,0.0,0.0,1.46,0.62,0.0,0.0
20200108:2310,0.0,0.0,0.0,0.63,0.55,0.0,0.0
20200109:0010,0.0,0.0,0.0,0.29,0.69,0.0,0.0
20200109:0110,0.0,0.0,0.0,0.32,0.76,0.0,0.0
20200109:0210,0.0,0.0,0.0,0.22,0.76,0.0,0.0
20200109:0310,0.0,0.0,0.0,-0.41,0.83,0.0,0.0
20200109:0410,0.0,0.0,0.0,-0.65,0.76,0.0,0.0
20200109:0510,0.0,0.0,0.0,-0.61,0.69,0.0,0.0
20200109:0610,0.0,0.0,0.0,-0.81,0.69,0.0,0.0
20200109:0710,0.0,0.0,0.0,-0.46,0.83,0.0,0.0
20200109:0810,139.08,188.13,8.15,0.04,0.55,0.0,0.13908
20200109:0910,352.96,415.1,15.08,1.57,0.28,0.0,0.35296
20200109:1010,491.14,584.38,20.04,4.61,0.0,0.0,0.49113999999999997
20200109:1110,571.77,694.24,22.57,6.41,0.14,0.0,0.57177
20200109:1210,601.42,739.31,22.37,7.38,0.14,0.0,0.60142
20200109:1310,569.3,693.28,19.46,7.85,0.28,0.0,0.5692999999999999
20200109:1410,473.5,564.41,14.18,7.8,0.34,0.0,0.4735
20200109:1510,308.95,363.54,7.0,6.91,0.62,0.0,0.30895
20200109:1610,0.0,0.0,0.0,5.02,0.97,0.0,0.0
20200109:1710,0.0,0.0,0.0,3.62,1.24,0.0,0.0
20200109:1810,0.0,0.0,0.0,2.93,1.31,0.0,0.0
20200109:1910,0.0,0.0,0.0,1.79,1.45,0.0,0.0
20200109:2010,0.0,0.0,0.0,1.4,1.38,0.0,0.0
20200109:2110,0.0,0.0,0.0,1.01,1.45,0.0,0.0
20200109:2210,0.0,0.0,0.0,0.87,1.38,0.0,0.0
20200109:2310,0.0,0.0,0.0,0.77,1.24,0.0,0.0
20200110:0010,0.0,0.0,0.0,0.74,1.17,0.0,0.0
20200110:0110,0.0,0.0,0.0,0.49,1.17,0.0,0.0
20200110:0210,0.0,0.0,0.0,0.57,1.1,0.0,0.0
20200110:0310,0.0,0.0,0.0,0.5,1.1,0.0,0.0
20200110:0410,0.0,0.0,0.0,0.81,0.9,0.0,0.0
20200110:0510,0.0,0.0,0.0,1.05,0.83,0.0,0.0
20200110:0610,0.0,0.0,0.0,0.76,0.97,0.0,0.0
20200110:0710,0.0,0.0,0.0,1.88,0.76,0.0,0.0
20200110:0810,135.0,185.28,8.22,2.45,0.48,0.0,0.135
20200110:0910,186.64,222.05,15.17,2.98,0.28,0.0,0.18663999999999997
20200110:1010,384.14,447.0,20.16,4.3,0.28,0.0,0.38414
20200110:1110,279.99,325.93,22.71,5.37,0.21,0.0,0.27999
20200110:1210,599.79,731.26,22.52,6.13,0.14,0.0,0.5997899999999999
20200110:1310,556.54,673.37,19.63,7.1,0.21,0.0,0.5565399999999999
20200110:1410,475.74,564.27,14.35,7.26,0.48,0.0,0.47574
20200110:1510,313.87,369.6,7.17,6.77,0.41,0.0,0.31387
20200110:1610,0.0,0.0,0.0,5.94,0.41,0.0,0.0
20200110:1710,0.0,0.0,0.0,5.27,0.48,0.0,0.0
20200110:1810,0.0,0.0,0.0,4.68,0.76,0.0,0.0
20200110:1910,0.0,0.0,0.0,5.09,0.97,0.0,0.0
20200110:2010,0.0,0.0,0.0,3.35,1.03,0.0,0.0
20200110:2110,0.0,0.0,0.0,2.02,0.9,0.0,0.0
20200110:2210,0.0,0.0,0.0,1.46,0.83,0.0,0.0
20200110:2310,0.0,0.0,0.0,1.0,1.03,0.0,0.0
20200111:0010,0.0,0.0,0.0,0.26,1.03,0.0,0.0
20200111:0110,0.0,0.0,0.0,-0.54,0.83,0.0,0.0
20200111:0210,0.0,0.0,0.0,-1.0,0.9,0.0,0.0
20200111:0310,0.0,0.0,0.0,-1.41,1.03,0.0,0.0
20200111:0410,0.0,0.0,0.0,-1.51,1.03,0.0,0.0
20200111:0510,0.0,0.0,0.0,-1.78,1.1,0.0,0.0
20200111:0610,0.0,0.0,0.0,-2.09,1.17,0.0,0.0
20200111:0710,0.0,0.0,0.0,-0.93,0.9,0.0,0.0
20200111:0810,152.79,206.17,8.29,-0.71,0.97,0.0,0.15278999999999998
20200111:0910,361.81,424.95,15.27,1.75,0.55,0.0,0.36181
20200111:1010,496.84,590.92,20.28,5.18,0.28,0.0,0.49683999999999995
20200111:1110,580.16,709.11,22.85,7.67,0.28,0.0,0.58016
20200111:1210,603.73,743.36,22.68,8.83,0.48,0.0,0.60373
20200111:1310,580.27,710.3,19.8,9.47,0.62,0.0,0.58027
20200111:1410,498.56,599.65,14.53,9.4,0.62,0.0,0.49856
20200111:1510,321.14,380.3,7.35,8.33,0.62,0.0,0.32114
20200111:1610,0.0,0.0,0.0,7.5,0.69,0.0,0.0
20200111:1710,0.0,0.0,0.0,6.41,1.03,0.0,0.0
20200111:1810,0.0,0.0,0.0,5.66,1.1,0.0,0.0
20200111:1910,0.0,0.0,0.0,5.83,1.03,0.0,0.0
20200111:2010,0.0,0.0,0.0,2.74,1.31,0.0,0.0
20200111:2110,0.0,0.0,0.0,1.36,1.24,0.0,0.0
20200111:2210,0.0,0.0,0.0,0.84,1.1,0.0,0.0
20200111:2310,0.0,0.0,0.0,0.69,0.97,0.0,0.0
20200112:0010,0.0,0.0,0.0,0.66,0.83,0.0,0.0
20200112:0110,0.0,0.0,0.0,0.47,0.83,0.0,0.0
20200112:0210,0.0,0.0,0.0,0.12,0.97,0.0,0.0
20200112:0310,0.0,0.0,0.0,-0.23,1.03,0.0,0.0
20200112:0410,0.0,0.0,0.0,-0.16,1.03,0.0,0.0
20200112:0510,0.0,0.0,0.0,0.38,0.83,0.0,0.0
20200112:0610,0.0,0.0,0.0,0.5,0.69,0.0,0.0
20200112:0710,0.0,0.0,0.0,0.28,0.55,0.0,0.0
20200112:0810,152.93,208.0,8.38,0.55,0.34,0.0,0.15293
20200112:0910,360.56,424.35,15.37,1.64,0.28,0.0,0.36056
20200112:1010,494.19,585.02,20.41,4.84,0.41,0.0,0.49419
20200112:1110,584.39,704.25,23.0,6.22,0.62,0.0,0.58439
20200112:1210,612.2,743.87,22.85,6.92,0.69,0.0,0.6122000000000001
20200112:1310,589.22,712.86,19.98,7.26,0.69,0.0,0.5892200000000001
20200112:1410,488.23,579.19,14.71,7.18,0.62,0.0,0.48823
20200112:1510,317.14,372.65,7.53,6.47,0.41,0.0,0.31714
20200112:1610,0.0,0.0,0.0,5.0,0.69,0.0,0.0
20200112:1710,0.0,0.0,0.0,4.16,0.97,0.0,0.0
