;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed
Locations;Almeria2023;Forli2014;Forli2014;Forli2014;Forli2014;Forli2015;Forli2015;Forli2015;Forli2015;Torino2019;Torino2019;Torino2019;Torino2020;Torino2020;Torino2020;Utrecht2014;Utrecht2014;Utrecht2014;Utrecht2014;Utrecht2015;Utrecht2015;Utrecht2015;Utrecht2015;Utrecht2016;Utrecht2016;Utrecht2016;Utrecht2017;Utrecht2017;Utrecht2017
Profile time series;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2
Subsets;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed
Index;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;0.01;0.00802;0.02928;0.03;0.011;0.02721;0.15624000000000002;0.139;0.032;0.0;0.00299;0.052;0.0;0.0025099999999999996;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;0.114;0.09567;0.07908;0.092;0.085;0.2005;0.3418;0.311;0.224;0.08529;0.19113999999999998;0.267;0.14119;0.1579;0.202;0.0;0.01143;0.011;0.0;0.0;0.01721;0.037;0.001;0.0;0.00085;0.001;0.0;0.16019;0.112
34;0.219;0.24938999999999997;0.14647;0.138;0.355;0.49115;0.47685;0.403;0.437;0.25231;0.36077;0.447;0.34818;0.34918;0.375;0.06062;0.01354;0.021;0.036;0.09816;0.10162;0.064;0.065;0.0;0.00545;0.008;0.35831;0.31199;0.281
35;0.308;0.37681;0.22063;0.154;0.415;0.39046;0.58263;0.46;0.479;0.47417000000000004;0.51246;0.566;0.48773;0.47005;0.494;0.08236;0.00884;0.044;0.071;0.5144;0.37204000000000004;0.097;0.395;0.050320000000000004;0.01289;0.019;0.52309;0.4556;0.347
36;0.356;0.22066;0.22843;0.127;0.248;0.62864;0.58865;0.512;0.645;0.57651;0.57265;0.625;0.56584;0.53831;0.553;0.05962;0.06520999999999999;0.109;0.098;0.53612;0.47044;0.143;0.485;0.05958;0.10064000000000001;0.034;0.58202;0.49291;0.315
37;0.365;0.057909999999999996;0.21762;0.081;0.065;0.62367;0.55737;0.521;0.62;0.60189;0.58284;0.621;0.58453;0.53938;0.553;0.25695999999999997;0.24375;0.093;0.111;0.49456;0.46699;0.397;0.435;0.04845;0.21519;0.044;0.53104;0.45681;0.18
38;0.335;0.05937;0.12742;0.044;0.045;0.42268;0.44961;0.454;0.419;0.56926;0.51851;0.553;0.55032;0.47869;0.483;0.08948;0.25631;0.083;0.087;0.31711;0.35999000000000003;0.323;0.287;0.0108;0.13147999999999999;0.041;0.39848;0.34958;0.095
39;0.249;0.03149;0.03978;0.02;0.054;0.31710000000000005;0.27851;0.233;0.252;0.48291;0.38003;0.402;0.45392;0.34725;0.327;0.2405;0.17748;0.035;0.117;0.24671;0.19294;0.139;0.179;0.00239;0.02776;0.024;0.020050000000000002;0.1585;0.027
40;0.134;0.00992;0.00022;0.0;0.043;0.00856;0.0019399999999999999;0.017;0.028;0.29229;0.1674;0.144;0.27862;0.14759999999999998;0.09;0.01868;0.0;0.0;0.007;0.01797;8.999999999999999e-05;0.002;0.008;0.00564;0.0;0.0;0.0;0.00031;0.0
41;0.026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;0.007;0.00189;0.01277;0.016;0.0;0.09245;0.11311;0.048;0.054;0.0;0.00346;0.05;0.0;0.00608;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;0.11;0.039299999999999995;0.0359;0.083;0.039;0.28896;0.32997000000000004;0.152;0.26;0.14565999999999998;0.1981;0.259;0.026760000000000003;0.09028;0.065;0.0;0.0;0.001;0.001;0.0;0.00134;0.001;0.0;0.0;0.01685;0.016;0.0;0.06589;0.032
58;0.232;0.08765;0.08442;0.155;0.088;0.45439999999999997;0.38587;0.258;0.436;0.35534;0.38244;0.438;0.08501;0.12919999999999998;0.129;0.019620000000000002;0.0135;0.015;0.018;0.02253;0.009300000000000001;0.008;0.017;0.04438;0.01405;0.09;0.0631;0.26862;0.14
59;0.338;0.07246999999999999;0.18580000000000002;0.188;0.188;0.55264;0.46958999999999995;0.334;0.556;0.50115;0.50281;0.557;0.12343000000000001;0.24755000000000002;0.158;0.03329;0.1694;0.05;0.078;0.04972;0.02377;0.011;0.032;0.09215000000000001;0.09254000000000001;0.195;0.07418999999999999;0.35261000000000003;0.301
60;0.413;0.16694;0.14772;0.149;0.124;0.6147100000000001;0.5072300000000001;0.343;0.611;0.5965499999999999;0.57236;0.616;0.26295999999999997;0.28051;0.172;0.28541000000000005;0.11649;0.14;0.198;0.11668;0.02445;0.05;0.073;0.17625;0.22309;0.191;0.06363;0.34195;0.308
61;0.464;0.038259999999999995;0.10443999999999999;0.079;0.092;0.5970599999999999;0.48919999999999997;0.286;0.595;0.6133200000000001;0.58013;0.607;0.16884;0.34669;0.168;0.17859999999999998;0.06814;0.18;0.112;0.06468;0.01934;0.066;0.061;0.33026;0.21619;0.116;0.02989;0.08731;0.191
